,swe
0,och
1,i
2,att
3,det
4,som
5,en
6,på
7,är
8,för
9,av
10,med
11,den
12,till
13,inte
14,har
15,de
16,han
17,om
18,ett
19,jag
20,var
21,men
22,sig
23,så
24,vi
25,hon
26,från
27,man
28,kan
29,när
30,hade
31,nu
32,skulle
33,år
34,säger
35,där
36,också
37,eller
38,sin
39,under
40,efter
41,ut
42,ska
43,vid
44,mot
45,då
46,här
47,bara
48,mycket
49,upp
50,över
51,vara
52,alla
53,kommer
54,vad
55,än
56,andra
57,finns
58,får
59,in
60,sedan
61,du
62,få
63,ha
64,hur
65,blir
66,två
67,vill
68,hans
69,många
70,måste
71,något
72,mer
73,detta
74,utan
75,sina
76,går
77,allt
78,blev
79,fick
80,mig
81,honom
82,dem
83,skall
84,nya
85,bli
86,någon
87,mellan
88,även
89,några
90,första
91,varit
92,kronor
93,sitt
94,genom
95,ta
96,kom
97,dag
98,(Dag)
99,fram
100,Sverige
101,kunde
102,stora
103,hela
104,svenska
105,procent
106,ju
107,göra
108,ingen
109,sa
110,bra
111,tre
112,gör
113,kanske
114,oss
115,själv
116,bland
117,annat
118,gick
119,redan
120,se
121,inom
122,gå
123,aldrig
124,del
125,väl
126,åt
127,henne
128,kunna
129,helt
130,samma
131,denna
132,enligt
133,fått
134,olika
135,stor
136,tid
137,vet
138,lite
139,gång
140,både
141,sätt
142,ser
143,miljoner
144,hennes
145,därför
146,tidigare
147,dock
148,tror
149,ur
150,min
151,dessa
152,just
153,ner
154,flera
155,varje
156,hos
157,gjorde
158,tog
159,gäller
160,barn
161,tar
162,komma
163,Stockholm
164,igen
165,står
166,såg
167,lika
168,mest
169,sade
170,ändå
171,ännu
172,ja
173,tycker
174,tillbaka
175,bättre
176,innan
177,nog
178,ligger
179,deras
180,rätt
181,ni
182,människor
183,alltid
184,fall
185,ger
186,blivit
187,ge
188,fyra
189,ny
190,gamla
191,annan
192,eftersom
193,trots
194,kvar
195,vilket
196,säga
197,tiden
198,gjort
199,vår
200,ville
