Unnamed: 0,swe,en
0,och,and
1,i,in
2,att,to
3,det,the
4,som,as
5,en,one
6,på,on
7,är,is
8,för,for
9,av,of
10,med,with
11,den,the
12,till,to
13,inte,not
14,har,has.
15,de,the
16,han,he
17,om,if
18,ett,one
20,var,where
21,men,but
22,sig,SIG.
23,så,so
24,vi,we
25,hon,she
26,från,from
27,man,MAN
28,kan,may
29,när,when
30,hade,had.
31,nu,now
32,skulle,would
33,år,year
35,där,where
36,också,also
37,eller,or
38,sin,its
39,under,during
40,efter,after
41,ut,out
42,ska,will
43,vid,at
44,mot,against
45,då,then
46,här,here
47,bara,only
48,mycket,very
49,upp,up
50,över,over
51,vara,be
52,alla,all
53,kommer,comes
54,vad,What
55,än,than
56,andra,Other
57,finns,Available
58,får,get
59,in,in
60,sedan,since
61,du,you
62,få,get
63,ha,have
64,hur,how
65,blir,becomes
66,två,two
67,vill,wants
68,hans,his
69,många,many
70,måste,must
71,något,something
72,mer,more
73,detta,this
74,utan,without
75,sina,Sin
76,går,go.
77,allt,all
78,blev,became
79,fick,got
80,mig,me
81,honom,him
82,dem,them
83,skall,shall
84,nya,new
85,bli,Become
86,någon,any
87,mellan,between
88,även,also
89,några,a few
90,första,first
91,varit,been.
92,kronor,crowns
93,sitt,his
94,genom,through
95,ta,take
96,kom,kom.
97,dag,day
98,(Dag),(Day)
99,fram,forward
100,Sverige,Sweden
101,kunde,could
102,stora,large
103,hela,whole
104,svenska,Swedish
105,procent,percent
106,ju,Ju.
107,göra,do
108,ingen,No
109,sa,said
110,bra,Good
111,tre,three
112,gör,make
113,kanske,perhaps
114,oss,U.S
115,själv,self
116,bland,among
117,annat,Other
118,gick,went
119,redan,already
120,se,see
121,inom,within
122,gå,go
123,aldrig,Never
124,del,part
125,väl,well
126,åt,at
127,henne,her
128,kunna,be able to
129,helt,completely
130,samma,same
131,denna,this
132,enligt,according to
133,fått,got
134,olika,various
135,stor,Big
136,tid,time
137,vet,know
138,lite,a little
139,gång,walk
140,både,both
141,sätt,way
142,ser,looks
143,miljoner,Millions
144,hennes,her
145,därför,because
146,tidigare,earlier
147,dock,though
148,tror,think
149,ur,from
150,min,my
151,dessa,these
152,just,just
153,ner,down
154,flera,several
155,varje,each
156,hos,at
157,gjorde,did
158,tog,took
159,gäller,applies
160,barn,children
161,tar,Tar
162,komma,come
163,Stockholm,Stockholm.
164,igen,again
165,står,stands
166,såg,SAW
167,lika,equal
168,mest,most
169,sade,said
170,ändå,still
171,ännu,yet
172,ja,yes
173,tycker,think
174,tillbaka,back
175,bättre,better
176,innan,before
177,nog,probably
178,ligger,is located
179,deras,their
180,rätt,Right
181,ni,you
182,människor,people
183,alltid,always
184,fall,case
185,ger,ger.
186,blivit,become
187,ge,give
188,fyra,four
189,ny,new
190,gamla,Old
191,annan,Other
192,eftersom,since
193,trots,despite
194,kvar,left
195,vilket,which
196,säga,say
197,tiden,the time
198,gjort,done
199,vår,spring
200,ville,Ville.
